season,team1,team2,result,winner
2009,Kolkata Knight Riders,Delhi Daredevils,normal,Delhi Daredevils
2009,Deccan Chargers,Mumbai Indians,normal,Deccan Chargers
2009,Royal Challengers Bangalore,Rajasthan Royals,normal,Rajasthan Royals
2009,Chennai Super Kings,Kings XI Punjab,normal,Chennai Super Kings
2009,Mumbai Indians,Delhi Daredevils,normal,Delhi Daredevils
2009,Deccan Chargers,Kings XI Punjab,normal,Kings XI Punjab
2009,Rajasthan Royals,Chennai Super Kings,normal,Chennai Super Kings
2009,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2009,Kolkata Knight Riders,Delhi Daredevils,normal,Delhi Daredevils
2009,Deccan Chargers,Rajasthan Royals,normal,Deccan Chargers
2009,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2009,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2009,Delhi Daredevils,Deccan Chargers,normal,Delhi Daredevils
2009,Chennai Super Kings,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2009,Rajasthan Royals,Mumbai Indians,normal,Rajasthan Royals
2009,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2009,Mumbai Indians,Chennai Super Kings,normal,Chennai Super Kings
2009,Kolkata Knight Riders,Deccan Chargers,normal,Deccan Chargers
2009,Kings XI Punjab,Deccan Chargers,normal,Kings XI Punjab
2009,Delhi Daredevils,Rajasthan Royals,normal,Delhi Daredevils
2009,Chennai Super Kings,Kolkata Knight Riders,normal,Kolkata Knight Riders
2009,Delhi Daredevils,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2009,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2009,Chennai Super Kings,Kings XI Punjab,normal,Chennai Super Kings
2009,Mumbai Indians,Delhi Daredevils,normal,Delhi Daredevils
2009,Royal Challengers Bangalore,Deccan Chargers,normal,Royal Challengers Bangalore
2009,Delhi Daredevils,Deccan Chargers,normal,Deccan Chargers
2009,Chennai Super Kings,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2009,Deccan Chargers,Royal Challengers Bangalore,normal,Deccan Chargers
2010,Kolkata Knight Riders,Deccan Chargers,normal,Kolkata Knight Riders
2010,Mumbai Indians,Rajasthan Royals,normal,Mumbai Indians
2010,Kings XI Punjab,Delhi Daredevils,normal,Delhi Daredevils
2010,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Kolkata Knight Riders
2010,Deccan Chargers,Chennai Super Kings,normal,Deccan Chargers
