season,team1,team2,result,winner
2013,Delhi Daredevils,Rajasthan Royals,normal,Rajasthan Royals
2013,Mumbai Indians,Kolkata Knight Riders,normal,Mumbai Indians
2013,Chennai Super Kings,Sunrisers Hyderabad,normal,Chennai Super Kings
2013,Kings XI Punjab,Rajasthan Royals,normal,Rajasthan Royals
2013,Kolkata Knight Riders,Pune Warriors,normal,Kolkata Knight Riders
2013,Royal Challengers Bangalore,Delhi Daredevils,normal,Royal Challengers Bangalore
2013,Pune Warriors,Mumbai Indians,normal,Mumbai Indians
2013,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad
2013,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Kolkata Knight Riders
2013,Chennai Super Kings,Rajasthan Royals,normal,Rajasthan Royals
2013,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2013,Sunrisers Hyderabad,Mumbai Indians,normal,Mumbai Indians
2013,Pune Warriors,Kolkata Knight Riders,normal,Pune Warriors
2013,Chennai Super Kings,Delhi Daredevils,normal,Chennai Super Kings
2013,Mumbai Indians,Rajasthan Royals,normal,Mumbai Indians
2013,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab
2013,Sunrisers Hyderabad,Rajasthan Royals,normal,Sunrisers Hyderabad
2013,Kings XI Punjab,Mumbai Indians,normal,Kings XI Punjab
2013,Pune Warriors,Delhi Daredevils,normal,Pune Warriors
2013,Royal Challengers Bangalore,Chennai Super Kings,normal,Royal Challengers Bangalore
2013,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2013,Chennai Super Kings,Mumbai Indians,normal,Chennai Super Kings
2013,Sunrisers Hyderabad,Rajasthan Royals,normal,Rajasthan Royals
2013,Rajasthan Royals,Mumbai Indians,normal,Mumbai Indians
2013,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2014,Kolkata Knight Riders,Mumbai Indians,normal,Kolkata Knight Riders
2014,Delhi Daredevils,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2014,Chennai Super Kings,Kings XI Punjab,normal,Kings XI Punjab
2014,Sunrisers Hyderabad,Rajasthan Royals,normal,Rajasthan Royals
2014,Mumbai Indians,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2014,Kolkata Knight Riders,Delhi Daredevils,normal,Delhi Daredevils
2014,Rajasthan Royals,Kings XI Punjab,normal,Kings XI Punjab
2014,Chennai Super Kings,Delhi Daredevils,normal,Chennai Super Kings
2014,Kings XI Punjab,Sunrisers Hyderabad,normal,Kings XI Punjab
2014,Chennai Super Kings,Rajasthan Royals,normal,Chennai Super Kings
2014,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Kolkata Knight Riders
2014,Sunrisers Hyderabad,Delhi Daredevils,normal,Sunrisers Hyderabad
2014,Mumbai Indians,Chennai Super Kings,normal,Chennai Super Kings
2014,Royal Challengers Bangalore,Rajasthan Royals,normal,Rajasthan Royals
2014,Kings XI Punjab,Kolkata Knight Riders,normal,Kings XI Punjab
2014,Mumbai Indians,Delhi Daredevils,normal,Delhi Daredevils
2014,Sunrisers Hyderabad,Chennai Super Kings,normal,Chennai Super Kings
2014,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab
2014,Rajasthan Royals,Kolkata Knight Riders,tie,Rajasthan Royals
2014,Sunrisers Hyderabad,Mumbai Indians,normal,Sunrisers Hyderabad
2014,Chennai Super Kings,Kolkata Knight Riders,normal,Chennai Super Kings
2014,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2014,Delhi Daredevils,Rajasthan Royals,normal,Rajasthan Royals
2014,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2014,Rajasthan Royals,Kolkata Knight Riders,normal,Rajasthan Royals
2014,Delhi Daredevils,Chennai Super Kings,normal,Chennai Super Kings
2014,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2014,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders
2014,Kings XI Punjab,Chennai Super Kings,normal,Kings XI Punjab
2014,Sunrisers Hyderabad,Rajasthan Royals,normal,Sunrisers Hyderabad
2014,Kings XI Punjab,Royal Challengers Bangalore,normal,Kings XI Punjab
2014,Delhi Daredevils,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2014,Mumbai Indians,Chennai Super Kings,normal,Chennai Super Kings
2014,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2014,Royal Challengers Bangalore,Rajasthan Royals,normal,Rajasthan Royals
2014,Sunrisers Hyderabad,Mumbai Indians,normal,Mumbai Indians
2014,Rajasthan Royals,Chennai Super Kings,normal,Chennai Super Kings
2014,Royal Challengers Bangalore,Delhi Daredevils,normal,Royal Challengers Bangalore
2014,Sunrisers Hyderabad,Kings XI Punjab,normal,Kings XI Punjab
2014,Mumbai Indians,Kolkata Knight Riders,normal,Kolkata Knight Riders
2014,Rajasthan Royals,Delhi Daredevils,normal,Rajasthan Royals
2014,Chennai Super Kings,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2014,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Kolkata Knight Riders
2014,Mumbai Indians,Rajasthan Royals,normal,Mumbai Indians
2014,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2014,Royal Challengers Bangalore,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2014,Chennai Super Kings,Kolkata Knight Riders,normal,Kolkata Knight Riders
2014,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2014,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Kolkata Knight Riders
2014,Chennai Super Kings,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2014,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2014,Kings XI Punjab,Rajasthan Royals,normal,Kings XI Punjab
2014,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2014,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Kolkata Knight Riders
2014,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2014,Rajasthan Royals,Mumbai Indians,normal,Mumbai Indians
2014,Kolkata Knight Riders,Kings XI Punjab,normal,Kolkata Knight Riders
2014,Mumbai Indians,Chennai Super Kings,normal,Chennai Super Kings
2014,Kings XI Punjab,Chennai Super Kings,normal,Kings XI Punjab
2014,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2015,Mumbai Indians,Kolkata Knight Riders,normal,Kolkata Knight Riders
2015,Chennai Super Kings,Delhi Daredevils,normal,Chennai Super Kings
2015,Rajasthan Royals,Kings XI Punjab,normal,Rajasthan Royals
2015,Chennai Super Kings,Sunrisers Hyderabad,normal,Chennai Super Kings
2015,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2015,Delhi Daredevils,Rajasthan Royals,normal,Rajasthan Royals
2015,Kings XI Punjab,Mumbai Indians,normal,Kings XI Punjab
2015,Royal Challengers Bangalore,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2015,Mumbai Indians,Rajasthan Royals,normal,Rajasthan Royals
2015,Chennai Super Kings,Kolkata Knight Riders,normal,Kolkata Knight Riders
2015,Kings XI Punjab,Delhi Daredevils,normal,Delhi Daredevils
2015,Sunrisers Hyderabad,Rajasthan Royals,normal,Rajasthan Royals
2015,Mumbai Indians,Chennai Super Kings,normal,Chennai Super Kings
2015,Delhi Daredevils,Sunrisers Hyderabad,normal,Delhi Daredevils
2015,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2015,Chennai Super Kings,Rajasthan Royals,normal,Rajasthan Royals
2015,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2015,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders
2015,Rajasthan Royals,Kings XI Punjab,tie,Kings XI Punjab
2015,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Sunrisers Hyderabad
2015,Chennai Super Kings,Royal Challengers Bangalore,normal,Chennai Super Kings
2015,Delhi Daredevils,Mumbai Indians,normal,Delhi Daredevils
2015,Rajasthan Royals,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2015,Mumbai Indians,Sunrisers Hyderabad,normal,Mumbai Indians
2015,Chennai Super Kings,Kings XI Punjab,normal,Chennai Super Kings
2015,Delhi Daredevils,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2015,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad
2015,Kolkata Knight Riders,Delhi Daredevils,normal,Kolkata Knight Riders
2015,Royal Challengers Bangalore,Rajasthan Royals,no result,
2015,Chennai Super Kings,Kolkata Knight Riders,normal,Chennai Super Kings
2015,Kings XI Punjab,Delhi Daredevils,normal,Delhi Daredevils
2015,Mumbai Indians,Rajasthan Royals,normal,Mumbai Indians
2015,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2015,Sunrisers Hyderabad,Chennai Super Kings,normal,Sunrisers Hyderabad
2015,Mumbai Indians,Kings XI Punjab,normal,Mumbai Indians
2015,Rajasthan Royals,Delhi Daredevils,normal,Rajasthan Royals
2015,Chennai Super Kings,Royal Challengers Bangalore,normal,Chennai Super Kings
2015,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Kolkata Knight Riders
2015,Delhi Daredevils,Mumbai Indians,normal,Mumbai Indians
2015,Royal Challengers Bangalore,Kings XI Punjab,normal,Royal Challengers Bangalore
2015,Sunrisers Hyderabad,Rajasthan Royals,normal,Sunrisers Hyderabad
2015,Chennai Super Kings,Mumbai Indians,normal,Mumbai Indians
2015,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2015,Sunrisers Hyderabad,Delhi Daredevils,normal,Sunrisers Hyderabad
2015,Royal Challengers Bangalore,Mumbai Indians,normal,Royal Challengers Bangalore
2015,Chennai Super Kings,Rajasthan Royals,normal,Chennai Super Kings
2015,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad
2015,Chennai Super Kings,Delhi Daredevils,normal,Delhi Daredevils
2015,Kings XI Punjab,Royal Challengers Bangalore,normal,Kings XI Punjab
2015,Mumbai Indians,Kolkata Knight Riders,normal,Mumbai Indians
2015,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2015,Kings XI Punjab,Chennai Super Kings,normal,Chennai Super Kings
2015,Rajasthan Royals,Kolkata Knight Riders,normal,Rajasthan Royals
2015,Delhi Daredevils,Royal Challengers Bangalore,no result,
2015,Sunrisers Hyderabad,Mumbai Indians,normal,Mumbai Indians
2015,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2015,Royal Challengers Bangalore,Rajasthan Royals,normal,Royal Challengers Bangalore
2015,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2015,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2016,Mumbai Indians,Rising Pune Supergiants,normal,Rising Pune Supergiants
2016,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders
2016,Kings XI Punjab,Gujarat Lions,normal,Gujarat Lions
2016,Royal Challengers Bangalore,Sunrisers Hyderabad,normal,Royal Challengers Bangalore
2016,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2016,Rising Pune Supergiants,Gujarat Lions,normal,Gujarat Lions
2016,Kings XI Punjab,Delhi Daredevils,normal,Delhi Daredevils
2016,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Kolkata Knight Riders
2016,Mumbai Indians,Gujarat Lions,normal,Gujarat Lions
2016,Rising Pune Supergiants,Kings XI Punjab,normal,Kings XI Punjab
2016,Royal Challengers Bangalore,Delhi Daredevils,normal,Delhi Daredevils
2016,Mumbai Indians,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2016,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2016,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2016,Gujarat Lions,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,Rising Pune Supergiants,normal,Royal Challengers Bangalore
2016,Delhi Daredevils,Mumbai Indians,normal,Delhi Daredevils
2016,Kings XI Punjab,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,Gujarat Lions,normal,Gujarat Lions
2016,Rising Pune Supergiants,Kolkata Knight Riders,normal,Kolkata Knight Riders
2016,Mumbai Indians,Kings XI Punjab,normal,Mumbai Indians
2016,Sunrisers Hyderabad,Rising Pune Supergiants,normal,Rising Pune Supergiants
2016,Gujarat Lions,Delhi Daredevils,normal,Gujarat Lions
2016,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2016,Rising Pune Supergiants,Gujarat Lions,normal,Gujarat Lions
2016,Delhi Daredevils,Kolkata Knight Riders,normal,Delhi Daredevils
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Sunrisers Hyderabad
2016,Kings XI Punjab,Gujarat Lions,normal,Kings XI Punjab
2016,Rising Pune Supergiants,Mumbai Indians,normal,Mumbai Indians
2016,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Kolkata Knight Riders
2016,Gujarat Lions,Delhi Daredevils,normal,Delhi Daredevils
2016,Kolkata Knight Riders,Kings XI Punjab,normal,Kolkata Knight Riders
2016,Delhi Daredevils,Rising Pune Supergiants,normal,Rising Pune Supergiants
2016,Gujarat Lions,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2016,Rising Pune Supergiants,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2016,Kings XI Punjab,Delhi Daredevils,normal,Kings XI Punjab
2016,Sunrisers Hyderabad,Mumbai Indians,normal,Sunrisers Hyderabad
2016,Kolkata Knight Riders,Gujarat Lions,normal,Gujarat Lions
2016,Royal Challengers Bangalore,Kings XI Punjab,normal,Royal Challengers Bangalore
2016,Sunrisers Hyderabad,Rising Pune Supergiants,normal,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2016,Sunrisers Hyderabad,Delhi Daredevils,normal,Delhi Daredevils
2016,Mumbai Indians,Kings XI Punjab,normal,Kings XI Punjab
2016,Royal Challengers Bangalore,Gujarat Lions,normal,Royal Challengers Bangalore
2016,Rising Pune Supergiants,Kolkata Knight Riders,normal,Kolkata Knight Riders
2016,Kings XI Punjab,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2016,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2016,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2016,Delhi Daredevils,Rising Pune Supergiants,normal,Rising Pune Supergiants
2016,Royal Challengers Bangalore,Kings XI Punjab,normal,Royal Challengers Bangalore
2016,Kolkata Knight Riders,Gujarat Lions,normal,Gujarat Lions
2016,Sunrisers Hyderabad,Delhi Daredevils,normal,Delhi Daredevils
2016,Kings XI Punjab,Rising Pune Supergiants,normal,Rising Pune Supergiants
2016,Mumbai Indians,Gujarat Lions,normal,Gujarat Lions
2016,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Kolkata Knight Riders
2016,Delhi Daredevils,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2016,Gujarat Lions,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2016,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Sunrisers Hyderabad
2016,Gujarat Lions,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Sunrisers Hyderabad
2017,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Sunrisers Hyderabad
2017,Mumbai Indians,Rising Pune Supergiant,normal,Rising Pune Supergiant
2017,Gujarat Lions,Kolkata Knight Riders,normal,Kolkata Knight Riders
2017,Rising Pune Supergiant,Kings XI Punjab,normal,Kings XI Punjab
2017,Royal Challengers Bangalore,Delhi Daredevils,normal,Royal Challengers Bangalore
2017,Gujarat Lions,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2017,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2017,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab
2017,Delhi Daredevils,Rising Pune Supergiant,normal,Delhi Daredevils
2017,Sunrisers Hyderabad,Mumbai Indians,normal,Mumbai Indians
2017,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2017,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2017,Rising Pune Supergiant,Gujarat Lions,normal,Gujarat Lions
2017,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Kolkata Knight Riders
2017,Delhi Daredevils,Kings XI Punjab,normal,Delhi Daredevils
2017,Gujarat Lions,Mumbai Indians,normal,Mumbai Indians
2017,Rising Pune Supergiant,Royal Challengers Bangalore,normal,Rising Pune Supergiant
2017,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders
2017,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad
2017,Royal Challengers Bangalore,Gujarat Lions,normal,Royal Challengers Bangalore
2017,Sunrisers Hyderabad,Delhi Daredevils,normal,Sunrisers Hyderabad
2017,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2017,Kolkata Knight Riders,Gujarat Lions,normal,Gujarat Lions
2017,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2017,Sunrisers Hyderabad,Rising Pune Supergiant,normal,Rising Pune Supergiant
2017,Kings XI Punjab,Gujarat Lions,normal,Kings XI Punjab
2017,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Kolkata Knight Riders
2017,Rising Pune Supergiant,Mumbai Indians,normal,Rising Pune Supergiant
2017,Rising Pune Supergiant,Kolkata Knight Riders,normal,Kolkata Knight Riders
2017,Royal Challengers Bangalore,Gujarat Lions,normal,Gujarat Lions
2017,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders
2017,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad
2017,Rising Pune Supergiant,Royal Challengers Bangalore,normal,Rising Pune Supergiant
2017,Gujarat Lions,Mumbai Indians,tie,Mumbai Indians
2017,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2017,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Sunrisers Hyderabad
2017,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2017,Gujarat Lions,Rising Pune Supergiant,normal,Rising Pune Supergiant
2017,Sunrisers Hyderabad,Delhi Daredevils,normal,Delhi Daredevils
2017,Kolkata Knight Riders,Rising Pune Supergiant,normal,Rising Pune Supergiant
2017,Gujarat Lions,Delhi Daredevils,normal,Delhi Daredevils
2017,Kings XI Punjab,Royal Challengers Bangalore,normal,Kings XI Punjab
2017,Rising Pune Supergiant,Sunrisers Hyderabad,normal,Rising Pune Supergiant
2017,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2017,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Kolkata Knight Riders
2017,Kings XI Punjab,Gujarat Lions,normal,Gujarat Lions
2017,Mumbai Indians,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2017,Kings XI Punjab,Kolkata Knight Riders,normal,Kings XI Punjab
2017,Gujarat Lions,Delhi Daredevils,normal,Delhi Daredevils
2017,Kings XI Punjab,Mumbai Indians,normal,Kings XI Punjab
2017,Delhi Daredevils,Rising Pune Supergiant,normal,Delhi Daredevils
2017,Gujarat Lions,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2017,Mumbai Indians,Kolkata Knight Riders,normal,Mumbai Indians
2017,Kings XI Punjab,Rising Pune Supergiant,normal,Rising Pune Supergiant
2017,Royal Challengers Bangalore,Delhi Daredevils,normal,Royal Challengers Bangalore
2017,Rising Pune Supergiant,Mumbai Indians,normal,Rising Pune Supergiant
2017,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Kolkata Knight Riders
2017,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2017,Mumbai Indians,Rising Pune Supergiant,normal,Mumbai Indians
2018,Mumbai Indians,Chennai Super Kings,normal,Chennai Super Kings
2018,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2018,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Kolkata Knight Riders
2018,Rajasthan Royals,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2018,Kolkata Knight Riders,Chennai Super Kings,normal,Chennai Super Kings
2018,Rajasthan Royals,Delhi Daredevils,normal,Rajasthan Royals
2018,Mumbai Indians,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2018,Kings XI Punjab,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2018,Mumbai Indians,Delhi Daredevils,normal,Delhi Daredevils
2018,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2018,Rajasthan Royals,Royal Challengers Bangalore,normal,Rajasthan Royals
2018,Kings XI Punjab,Chennai Super Kings,normal,Kings XI Punjab
2018,Kolkata Knight Riders,Delhi Daredevils,normal,Kolkata Knight Riders
2018,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2018,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2018,Kings XI Punjab,Sunrisers Hyderabad,normal,Kings XI Punjab
2018,Chennai Super Kings,Rajasthan Royals,normal,Chennai Super Kings
2018,Kolkata Knight Riders,Kings XI Punjab,normal,Kings XI Punjab
2018,Delhi Daredevils,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2018,Chennai Super Kings,Sunrisers Hyderabad,normal,Chennai Super Kings
2018,Mumbai Indians,Rajasthan Royals,normal,Rajasthan Royals
2018,Kings XI Punjab,Delhi Daredevils,normal,Kings XI Punjab
2018,Sunrisers Hyderabad,Mumbai Indians,normal,Sunrisers Hyderabad
2018,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2018,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad
2018,Delhi Daredevils,Kolkata Knight Riders,normal,Delhi Daredevils
2018,Chennai Super Kings,Mumbai Indians,normal,Mumbai Indians
2018,Sunrisers Hyderabad,Rajasthan Royals,normal,Sunrisers Hyderabad
2018,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Kolkata Knight Riders
2018,Chennai Super Kings,Delhi Daredevils,normal,Chennai Super Kings
2018,Royal Challengers Bangalore,Mumbai Indians,normal,Royal Challengers Bangalore
2018,Delhi Daredevils,Rajasthan Royals,normal,Delhi Daredevils
2018,Chennai Super Kings,Kolkata Knight Riders,normal,Kolkata Knight Riders
2018,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2018,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2018,Delhi Daredevils,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2018,Mumbai Indians,Kolkata Knight Riders,normal,Mumbai Indians
2018,Rajasthan Royals,Kings XI Punjab,normal,Kings XI Punjab
2018,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Sunrisers Hyderabad
2018,Rajasthan Royals,Kings XI Punjab,normal,Rajasthan Royals
2018,Mumbai Indians,Kolkata Knight Riders,normal,Mumbai Indians
2018,Delhi Daredevils,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2018,Chennai Super Kings,Rajasthan Royals,normal,Rajasthan Royals
2018,Kolkata Knight Riders,Kings XI Punjab,normal,Kolkata Knight Riders
2018,Delhi Daredevils,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2018,Sunrisers Hyderabad,Chennai Super Kings,normal,Chennai Super Kings
2018,Mumbai Indians,Rajasthan Royals,normal,Rajasthan Royals
2018,Kings XI Punjab,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2018,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2018,Mumbai Indians,Kings XI Punjab,normal,Mumbai Indians
2018,Royal Challengers Bangalore,Sunrisers Hyderabad,normal,Royal Challengers Bangalore
2018,Delhi Daredevils,Chennai Super Kings,normal,Delhi Daredevils
2018,Rajasthan Royals,Royal Challengers Bangalore,normal,Rajasthan Royals
2018,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Kolkata Knight Riders
2018,Delhi Daredevils,Mumbai Indians,normal,Delhi Daredevils
2018,Kings XI Punjab,Chennai Super Kings,normal,Chennai Super Kings
2018,Sunrisers Hyderabad,Chennai Super Kings,normal,Chennai Super Kings
2018,Kolkata Knight Riders,Rajasthan Royals,normal,Kolkata Knight Riders
2018,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Sunrisers Hyderabad
2018,Sunrisers Hyderabad,Chennai Super Kings,normal,Chennai Super Kings
2019,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2019,Sunrisers Hyderabad,Kolkata Knight Riders,normal,Kolkata Knight Riders
2019,Delhi Capitals,Mumbai Indians,normal,Delhi Capitals
2019,Kings XI Punjab,Rajasthan Royals,normal,Kings XI Punjab
2019,Delhi Capitals,Chennai Super Kings,normal,Chennai Super Kings
2019,Kolkata Knight Riders,Kings XI Punjab,normal,Kolkata Knight Riders
2019,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2019,Rajasthan Royals,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2019,Mumbai Indians,Kings XI Punjab,normal,Kings XI Punjab
2019,Kolkata Knight Riders,Delhi Capitals,tie,Delhi Capitals
2019,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Sunrisers Hyderabad
2019,Chennai Super Kings,Rajasthan Royals,normal,Chennai Super Kings
2019,Kings XI Punjab,Delhi Capitals,normal,Kings XI Punjab
2019,Royal Challengers Bangalore,Rajasthan Royals,normal,Rajasthan Royals
2019,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2019,Delhi Capitals,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2019,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Kolkata Knight Riders
2019,Chennai Super Kings,Kings XI Punjab,normal,Chennai Super Kings
2019,Mumbai Indians,Sunrisers Hyderabad,normal,Mumbai Indians
2019,Royal Challengers Bangalore,Delhi Capitals,normal,Delhi Capitals
2019,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2019,Sunrisers Hyderabad,Kings XI Punjab,normal,Kings XI Punjab
2019,Kolkata Knight Riders,Chennai Super Kings,normal,Chennai Super Kings
2019,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2019,Rajasthan Royals,Chennai Super Kings,normal,Chennai Super Kings
2019,Kolkata Knight Riders,Delhi Capitals,normal,Delhi Capitals
2019,Mumbai Indians,Rajasthan Royals,normal,Rajasthan Royals
2019,Kings XI Punjab,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2019,Kolkata Knight Riders,Chennai Super Kings,normal,Chennai Super Kings
2019,Delhi Capitals,Sunrisers Hyderabad,normal,Delhi Capitals
2019,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2019,Kings XI Punjab,Rajasthan Royals,normal,Kings XI Punjab
2019,Chennai Super Kings,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2019,Mumbai Indians,Delhi Capitals,normal,Mumbai Indians
2019,Royal Challengers Bangalore,Kolkata Knight Riders,normal,Royal Challengers Bangalore
2019,Mumbai Indians,Rajasthan Royals,normal,Rajasthan Royals
2019,Kings XI Punjab,Delhi Capitals,normal,Delhi Capitals
2019,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2019,Royal Challengers Bangalore,Chennai Super Kings,normal,Royal Challengers Bangalore
